rank,product,metric,fold,cutoff,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
9,Butterscotch Cake,totalValue,EVAL,2026-03-16,Prophet,4159.79991402785,4342.118833983099,89.2500044605001,38161.399999999994,92238.79888236204,141.70706232570623
9,Butterscotch Cake,totalValue,EVAL,2026-03-16,AutoARIMA,3008.301605195995,3210.7629139210962,76.04269107054526,38161.399999999994,75773.58264485202,98.56080396644786
9,Butterscotch Cake,totalValue,EVAL,2026-03-16,AutoETS,2772.8088583432036,3077.719644801472,71.90457789684862,38161.399999999994,73624.12336909106,92.92825569578442
9,Butterscotch Cake,totalValue,EVAL,2026-03-16,Croston,2771.897972630674,3076.76554049988,71.89197702377678,38161.399999999994,73610.12885223489,92.89158377898846
9,Butterscotch Cake,totalValue,EVAL,2026-03-16,LightGBM,3131.760005183792,3421.6551461982813,77.11925170467357,38161.399999999994,78826.79225420307,106.56158383655496
10,Choco Vanilla Cake,totalValue,EVAL,2026-03-16,Prophet,1985.3631930628612,2255.712370664822,59.06250698764373,31694.89,57447.89456311233,81.25285988723208
10,Choco Vanilla Cake,totalValue,EVAL,2026-03-16,AutoARIMA,845.7269160756995,997.2770550509663,33.831785597470976,31694.89,39036.11097964369,23.162159514179375
10,Choco Vanilla Cake,totalValue,EVAL,2026-03-16,AutoETS,853.7352565111166,1003.8725018278454,34.08289759658293,31694.89,39186.489816708745,23.636617185637007
10,Choco Vanilla Cake,totalValue,EVAL,2026-03-16,Croston,1105.903535694452,1249.0967756072635,41.42167744761857,31694.89,43921.64972581805,38.576438428459774
10,Choco Vanilla Cake,totalValue,EVAL,2026-03-16,LightGBM,623.9308113043128,939.3225626785351,25.26753674581669,31694.89,33964.37551976445,7.160414564506929
1,Choco Truffle Cake,qty,CV-0,2025-09-15,Prophet,67.17916001643037,83.77686725277809,19.300186782448776,4609.0,4459.168625568816,-3.250843446109429
1,Choco Truffle Cake,qty,CV-0,2025-09-15,AutoARIMA,56.49349534967195,71.20097829568343,16.12974030283508,4609.0,4249.562019106046,-7.798610997916118
1,Choco Truffle Cake,qty,CV-0,2025-09-15,AutoETS,72.52215344403473,89.1740945422415,20.86336645853476,4609.0,4061.7512135916254,-11.873482022312315
1,Choco Truffle Cake,qty,CV-0,2025-09-15,Croston,70.66244243302158,85.8133045323755,20.293356809725523,4609.0,4161.682409606451,-9.705306799599674
1,Choco Truffle Cake,qty,CV-0,2025-09-15,LightGBM,99.61588278207608,115.44287005559109,30.672773250949607,4609.0,3923.1620889794135,-14.880405967033772
2,Pineapple Cake,qty,CV-0,2025-09-15,Prophet,20.102836913408,28.501458279947126,22.258828608657875,1231.0,1132.3081670221563,-8.017208202911752
2,Pineapple Cake,qty,CV-0,2025-09-15,AutoARIMA,18.63377757257388,23.68612514765484,21.594282350531913,1231.0,1135.9250797123054,-7.723389137911825
2,Pineapple Cake,qty,CV-0,2025-09-15,AutoETS,16.85073264153884,25.20901208568782,18.558928067400096,1231.0,1169.7420611933119,-4.976274476579051
2,Pineapple Cake,qty,CV-0,2025-09-15,Croston,16.80256966282025,25.106004284557557,18.502389494399903,1231.0,1177.3657269833773,-4.356967751147256
2,Pineapple Cake,qty,CV-0,2025-09-15,LightGBM,18.893761151817966,27.380357940328103,20.337276725906513,1231.0,1216.3392966252686,-1.1909588444135972
3,Fresh Fruit Cake,qty,CV-0,2025-09-15,Prophet,25.191627912909333,30.745720486838625,28.17269080454406,1215.0,1041.5522367016958,-14.275536073934497
3,Fresh Fruit Cake,qty,CV-0,2025-09-15,AutoARIMA,26.180001420925656,31.04820172413779,29.858560134479944,1215.0,950.2207300949503,-21.79253250247322
3,Fresh Fruit Cake,qty,CV-0,2025-09-15,AutoETS,25.97535209868103,33.49915238945299,28.917489515091148,1215.0,950.8373465389552,-21.74178217786377
3,Fresh Fruit Cake,qty,CV-0,2025-09-15,Croston,29.08761419001833,36.438614436648706,33.08523970455924,1215.0,899.6881335429892,-25.951593947079076
